,name_muni_IBGE,Population,Bovino (bovines),Suíno (pigs) - total,Galináceos (chicken) - total,Manure generated (kg/day),Municipality-specific biogas yield (m3/kg manure),Municipality-specific CH4 yield (m3 CH4/kg manure)
4521,Princesa,2937,11975,6158,19700,230206.32,0.030999744,0.018233036
4522,Quilombo,9829,31934,24801,1032216,913680.32,0.066593872,0.038794559
4523,Rancho Queimado,2887,10294,493,3374,179500.24,0.024683667,0.014595652
4524,Rio das Antas,6202,21950,180000,2812668,1712287.04,0.097182769,0.056428399
4525,Rio do Campo,5902,17550,40000,75000,444460,0.044484948,0.025993457
4526,Rio do Oeste,7520,18500,58000,33000,503760,0.045207249,0.026398947
4527,Rio dos Cedros,11808,10278,2837,25499,192545.8,0.030569683,0.017990225
4528,Rio do Sul,72006,9500,8000,16000,192200,0.033426264,0.019627808
4529,Rio Fortuna,4620,27872,39068,237040,664536.32,0.045622661,0.026665284
4530,Rio Negrinho,42495,12000,950,630000,385688,0.079574661,0.046304738
4531,Rio Rufino,2483,9000,1200,6000,160128,0.026118855,0.015422497
4532,Riqueza,4561,23160,33830,350000,599195.2,0.052967896,0.030909506
4533,Rodeio,11600,3200,500,62400,74032,0.053398357,0.03118143
4534,Romelândia,4684,33771,5346,268349,672250.76,0.038503335,0.022576442
4535,Salete,7659,12100,34100,96500,338804,0.050229094,0.029306701
4536,Saltinho,3754,21439,16345,246228,487383.44,0.046420996,0.027138276
4537,Salto Veloso,4756,7600,59515,187000,364005.6,0.068606413,0.039893341
4538,Sangão,12905,8283,3217,115880,184693.68,0.047863858,0.027979318
4539,Santa Cecília,16918,16200,6700,9150,301570,0.028356727,0.016708362
4540,Santa Helena,2200,10532,11300,210000,274302.4,0.056570658,0.03299786
4541,Santa Rosa de Lima,2147,9783,12848,47142,220525.28,0.040670374,0.023804737
4542,Santa Rosa do Sul,8378,11729,350,30008,211205.04,0.028694881,0.016913324
4543,Santa Terezinha,8773,15000,12200,77300,316732,0.038374703,0.022487832
4544,Santa Terezinha do Progresso,2372,18615,2630,288680,409003.6,0.048680148,0.028456007
4545,Santiago do Sul,1235,10262,2133,171488,231007.36,0.05039555,0.029445634
4546,Santo Amaro da Imperatriz,23579,13203,89,4900,228734.16,0.024375844,0.014418934
4547,São Bernardino,2287,20272,4773,99900,391160.32,0.034326959,0.02016188
4548,São Bento do Sul,85421,7500,1105,240100,199587.2,0.065445878,0.038141507
4549,São Bonifácio,2814,15494,666,155660,312106.24,0.040910645,0.023969798
4550,São Carlos,11369,31200,115000,1300000,1250240,0.07445732,0.043306708
4551,São Cristóvão do Sul,5598,4850,300,2871,85135.88,0.025322473,0.014964308
4552,São Domingos,9434,18470,8156,1068687,641710.6,0.082387282,0.047924714
4553,São Francisco do Sul,53746,1541,265,2040,27882,0.027672087,0.016318814
4554,São João do Oeste,6402,27033,126613,1334076,1223412.4,0.078119858,0.045417065
4555,São João Batista,38583,7395,351,9344,130877.36,0.026462455,0.015623236
4556,São João do Itaperiú,3759,5957,396,3839,104739.16,0.025465484,0.015046801
4557,São João do Sul,7315,13353,370,79817,253145.16,0.03455583,0.020299118
4558,São Joaquim,27139,74000,2300,16000,1284272,0.024307013,0.014378516
4559,São José,250181,3494,162,38014,71233.2,0.042122284,0.024669662
4560,São José do Cedro,13820,39865,52874,199643,902315,0.040981874,0.023984524
4561,São José do Cerrito,8173,46000,6350,56000,826184,0.027182545,0.016036871
4562,São Lourenço do Oeste,24291,36208,11904,424763,777899.4,0.044738562,0.026174914
4563,São Ludgero,13650,18184,17534,1609084,816611.68,0.094243399,0.054769553
4564,São Martinho,3171,15228,9191,81734,312747.76,0.037424653,0.021943287
4565,São Miguel da Boa Vista,1807,11975,1500,200000,266530,0.050061532,0.029254368
4566,São Miguel do Oeste,40868,26237,19013,581749,671965.64,0.057805318,0.033717125
4567,São Pedro de Alcântara,5935,4597,373,391827,189913.88,0.094112501,0.054703065
4568,Saudades,9810,27594,78892,862179,955858.6,0.06817686,0.039683086
4569,Schroeder,21991,1100,430,20000,25827.2,0.052734667,0.030793405
4570,Seara,17576,29416,249170,1977700,1817188,0.083712743,0.04863218
4571,Serra Alta,3256,9029,31300,400000,362450.8,0.075680259,0.044015797
4572,Siderópolis,14092,7999,720,770154,355414.72,0.097652473,0.056747976
4573,Sombrio,30733,9422,470,107540,193598.4,0.042890714,0.02511349
4574,Sul Brasil,2423,14698,14986,486837,434677.4,0.067497782,0.039313291
4575,Taió,18486,33180,51000,151200,768072,0.041466063,0.024260575
4576,Tangará,8662,13900,92266,1300000,883568.64,0.091235518,0.05299317
4577,Tigrinhos,1619,8000,1600,250000,212464,0.06488655,0.037817466
4578,Tijucas,39155,18481,0,84163,341438.84,0.031968443,0.018805143
4579,Timbé do Sul,5343,5873,7350,1035254,413230.72,0.111820255,0.064924922
4580,Timbó,44977,4762,2847,179401,140793.56,0.070343463,0.04096383
4581,Timbó Grande,7941,12561,2306,21000,228939.44,0.028399382,0.016738685
4582,Três Barras,19366,3056,8929,87713,104267,0.066631878,0.038789144
4583,Treviso,3966,4122,254,265057,145886.52,0.085694138,0.049840122
4584,Treze de Maio,7093,11365,2728,352405,302444.52,0.064746787,0.037736032
4585,Treze Tílias,7991,20750,81400,700500,800496,0.07048772,0.041009042
4586,Trombudo Central,7434,6190,80000,14000,353588,0.06304585,0.036651799
4587,Tubarão,106422,26494,1806,74704,482104.16,0.029484851,0.01736869
4588,Tunápolis,4525,21189,136690,965327,1050279.96,0.076780513,0.044630891
4589,Turvo,12990,7202,3300,1082964,437136.32,0.109147464,0.063385718
4590,União do Oeste,2412,12498,36326,456494,453214.96,0.07135616,0.041520792
4591,Urubici,11273,36000,920,6200,623732.8,0.024168107,0.014298422
4592,Urupema,2459,16000,580,3200,277859.2,0.024324919,0.014388721
4593,Urussanga,21344,12847,18000,750000,485688.4,0.082366849,0.047901515
4594,Vargeão,3571,9351,19013,164977,264830.28,0.056872701,0.033158024
4595,Vargem,2432,14746,1760,13600,262789.6,0.026470606,0.015626066
4596,Vargem Bonita,4451,10780,9580,1326400,585931.2,0.103360395,0.060038576
4597,Vidal Ramos,6329,9000,6300,33000,183192,0.035504454,0.020831703
4598,Videira,53610,29704,271636,3700000,2372682.24,0.095928414,0.055699413
4599,Vitor Meireles,4943,7400,7200,28000,157008,0.037375013,0.021906905
4600,Witmarsum,3998,10500,22000,15000,251680,0.040335903,0.023597881
4601,Xanxerê,51642,27594,49803,953365,892960.12,0.06930447,0.040346998
4602,Xavantina,3903,29124,199300,738368,1313547.84,0.068269305,0.039704112
4603,Xaxim,28983,27194,64409,2099496,1251399.04,0.089337351,0.051921432
4604,Zortéa,3398,10305,7200,486000,335214,0.076530419,0.044537269
4605,Balneário Rincão,12946,1500,0,40660,37184.8,0.060786517,0.035452518
